rank,product_id,price,area_name,level,total_yellow,char5,weapon5,star_voice,fj_waves,zc_waves,hs_waves,wave_pulls,pulls_total,equiv_pulls_total,equiv_pulls_per_rmb,role_resonance,weapon_resonance,sub_title
189,35165795,135,官服,47,13,6,2,63,0,0,0,0,0.39,610.39,4.521,6鸣x2 5鸣x1 3鸣x1 1鸣x1 0鸣x13,1鸣x2,联觉等级:47 总黄数:13 五星角色数:6 五星武器数:2 5鸣绯雪，0鸣鉴心，0鸣卡卡罗，0鸣安可，0鸣维里奈，0鸣凌阳 6鸣渊武，6鸣秋水，3鸣散华，1鸣桃祈，0鸣卜灵，0鸣灯灯，0鸣釉瑚，0鸣莫特斐，0鸣丹瑾，0鸣炽霞，0鸣白芷，0鸣秧秧 1鸣镭射切变，1鸣血誓盟约
190,35427263,150,官服,55,19,6,3,68,0,0,2,2,2.42,677.42,4.516,6鸣x4 4鸣x1 3鸣x2 2鸣x1 1鸣x4 0鸣x6,5鸣x1 1鸣x2,联觉等级:55 总黄数:19 五星角色数:6 五星武器数:3 3鸣绯雪，2鸣维里奈，1鸣鉴心，0鸣守岸人，0鸣卡卡罗，0鸣凌阳 6鸣渊武，6鸣秋水，6鸣散华，6鸣白芷，4鸣丹瑾，3鸣秧秧，1鸣釉瑚，1鸣桃祈，1鸣炽霞，0鸣卜灵，0鸣灯灯，0鸣莫特斐 5鸣血誓盟约，1鸣灼霜，1鸣浩境粼光 卖家说:3鸣绯雪，守岸人
191,5781254,150,官服,53,13,6,3,0,0,0,0,0,0.00,675.00,4.500,6鸣x2 5鸣x3 3鸣x2 2鸣x1 1鸣x3 0鸣x4,1鸣x3,"总黄数: 13 联觉等级: 53 拥有五星共鸣者: 鉴心,安可,维里奈,吟霖,今汐,折枝 拥有五星武器: 千古洑流,漪澜浮录,时和岁稔 亮点: up武器池垫了60多"
192,35012818,160,官服,55,14,5,4,451,0,4,3,7,9.82,669.82,4.186,6鸣x5 4鸣x1 2鸣x1 1鸣x2 0鸣x4,1鸣x4,联觉等级:55 总黄数:14 五星角色数:5 五星武器数:4 4鸣爱弥斯，1鸣维里奈，0鸣鉴心，0鸣卡卡罗，0鸣凌阳 6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣秋水，6鸣秧秧，2鸣白芷，1鸣炽霞，0鸣散华 1鸣灼霜，1鸣永远的启明星，1鸣血誓盟约，1鸣千古洑流 卖家说:看图
193,35015598,130,官服,54,14,5,2,23,0,0,0,0,0.14,530.14,4.078,6鸣x3 4鸣x2 3鸣x1 2鸣x3 1鸣x2 0鸣x3,1鸣x2,联觉等级:54 总黄数:14 五星角色数:5 五星武器数:2 4鸣绯雪，2鸣维里奈，1鸣卡卡罗，0鸣鉴心，0鸣凌阳 6鸣渊武，6鸣秋水，6鸣白芷，4鸣秧秧，3鸣丹瑾，2鸣釉瑚，2鸣散华，1鸣灯灯，0鸣炽霞 1鸣血誓盟约，1鸣千古洑流 卖家说:40绯雪，有一套可用声骸，20维里奈
194,34661982,150,官服,50,8,6,1,960,11,0,8,19,25.00,570.00,3.800,6鸣x1 4鸣x1 3鸣x3 2鸣x3 1鸣x2 0鸣x5,1鸣x1,联觉等级:50 总黄数:8 五星角色数:6 五星武器数:1 1鸣凌阳，0鸣今汐，0鸣忌炎，0鸣卡卡罗，0鸣安可，0鸣维里奈 6鸣桃祈，4鸣渊武，3鸣丹瑾，3鸣散华，3鸣白芷，2鸣秋水，2鸣炽霞，2鸣秧秧，1鸣莫特斐 1鸣浩境粼光 卖家说:老玩家回归账号，可议价
195,35402088,110,官服,34,5,4,1,509,0,15,3,18,21.18,406.18,3.693,3鸣x1 2鸣x2 1鸣x2 0鸣x8,1鸣x1,联觉等级:34 总黄数:5 五星角色数:4 五星武器数:1 0鸣忌炎，0鸣鉴心，0鸣卡卡罗，0鸣维里奈 3鸣秧秧，2鸣丹瑾，2鸣炽霞，1鸣桃祈，1鸣白芷，0鸣渊武，0鸣莫特斐，0鸣秋水，0鸣散华 1鸣浩境粼光 卖家说:退坑急出账号
196,34222519,105,官服,47,18,4,1,57,0,0,0,0,0.36,385.36,3.670,6鸣x3 3鸣x3 2鸣x2 1鸣x1 0鸣x7,4鸣x1,联觉等级:47 总黄数:18 2鸣千咲，1鸣安可，0鸣爱弥斯，0鸣维里奈 6鸣桃祈，6鸣渊武，6鸣秋水，3鸣灯灯，3鸣莫特斐，3鸣散华，2鸣秧秧，0鸣卜灵，0鸣釉瑚，0鸣丹瑾，0鸣炽霞，0鸣白芷 4鸣血誓盟约
197,35475027,150,官服,50,17,4,3,1740,3,0,15,18,28.88,543.88,3.626,5鸣x1 4鸣x1 3鸣x2 2鸣x2 1鸣x4 0鸣x5,5鸣x1 1鸣x2,联觉等级:50 总黄数:17 五星角色数:4 五星武器数:3 5鸣绯雪，1鸣鉴心，0鸣维里奈，0鸣凌阳 4鸣秧秧，3鸣卜灵，3鸣散华，2鸣渊武，2鸣丹瑾，1鸣釉瑚，1鸣桃祈，1鸣炽霞，0鸣灯灯，0鸣秋水，0鸣白芷 5鸣血誓盟约，1鸣灼霜，1鸣千古洑流 卖家说:5链绯雪
198,34700534,90,官服,38,5,2,2,404,0,6,11,17,19.52,309.52,3.439,4鸣x1 3鸣x1 2鸣x5 1鸣x2 0鸣x2,1鸣x2,联觉等级:38 总黄数:5 五星角色数:2 五星武器数:2 1鸣卡卡罗，0鸣爱弥斯 4鸣丹瑾，3鸣散华，2鸣桃祈，2鸣秋水，2鸣炽霞，2鸣白芷，2鸣秧秧，1鸣渊武，0鸣莫特斐 1鸣永远的启明星，1鸣血誓盟约
199,4491438,100,官服,30,5,4,0,0,0,0,0,0,0.00,320.00,3.200,6鸣x1 2鸣x2 1鸣x1 0鸣x7,,"总黄数: 5 联觉等级: 30 拥有五星共鸣者: 忌炎,鉴心,安可,维里奈 亮点: 联觉等级30，数据乌15级，金色声骸多。五星共鸣者。忌炎，安可，鉴心，维里纳。亮点，一命忌炎（并且又垫了50抽。），练度高。"
200,33940315,150,官服,35,13,5,1,268,0,0,1,1,2.67,467.68,3.118,4鸣x1 3鸣x3 2鸣x5 1鸣x2 0鸣x5,1鸣x1,联觉等级:35 总黄数:13 2鸣卡卡罗，0鸣今汐，0鸣鉴心，0鸣安可，0鸣维里奈 4鸣秧秧，3鸣渊武，3鸣丹瑾，3鸣散华，2鸣桃祈，2鸣莫特斐，2鸣炽霞，2鸣白芷，1鸣釉瑚，1鸣秋水，0鸣灯灯 1鸣千古洑流
